,title,description
10,Как подтвердить выплату?,"Чтобы осуществить выплату после ее создания, надо подтвердить ее и провести оплату. После создания выплаты она автоматически переходит в раздел «Подтвердить». Чтобы подтвердить выплату: Войдите в раздел «Выплаты». В открывшемся окне перейдите в раздел «Подтвердить». Найдите нужную выплату и нажмите на нее. В открывшемся окне нажмите на кнопку «Подтвердить и оплатить». Вы можете подтвердить сразу несколько выплат. Для этого: В разделе «Выплаты» → «Подтвердить» отметьте чекбоксы всех нужных выплат. Нажмите кнопку «Подтвердить и оплатить»."
11,Как повторить выплату с ошибкой?,"Это можно сделать в личном кабинете Jump.Finance: Перейдите в раздел «Выплаты». Откройте подраздел «Ошибка выплаты». Нажмите на интересующую вас выплату → «Повторить». Если вы обнаружили ошибку в выплате, нажмите «Редактировать». Как редактировать выплату"
12,Как получить чек по выплате?,"Чтобы у вас были чеки, вам необходимо интегрировать систему с кассой АТОЛ. Как настроить интеграцию с кассой АТОЛ Получить чек по выплате можно в личном кабинете Jump.Finance: Войдите в раздел «Выплаты». В открывшемся окне перейдите в раздел «Оплаченные». Найдите нужную вам выплату. Нажмите на иконку чека. Введите код с картинки → «Проверить»."
13,Как повторить отмененную выплату?,"Это можно сделать в личном кабинете Jump.Finance: Перейдите в раздел «Выплаты». Откройте подраздел «Отмененные». Выберите выплату. В открывшемся окне нажмите «Скопировать как новую». Выплата будет скопирована как новая с данными, которые уже были введены."
14,Как скопировать выплату как новую?,"Если вам необходимо повторить выплату, которая уже была, вы можете скопировать ее как новую. Копировать выплату как новую можно из разделов «Подтвердить», «Оплатить», «Оплаченные». Чтобы это сделать: Перейдите в раздел, где находится выплата, которую вы хотите скопировать как новую. Нажмите на эту выплату. В открывшемся окне нажмите на кнопку «Еще…». Выберите «Скопировать как новую»."
15,Как отменить выплату?,"Вы можете отменить выплату из разделов «Подтвердить», «Оплатить», «Ошибка выплаты». Чтобы это сделать: Перейдите в раздел, где находится выплата, которую вы хотите отменить. Нажмите на эту выплату. В открывшемся окне нажмите на кнопку «Еще…». Выберите «Отменить выплату»."
16,Как занести получателя в базу?,"При создании выплаты, получатель которой ранее не был занесен в систему, он будет автоматически добавлен в базу. Вы сможете найти список всех получателей, перейдя в раздел «Получатели». Если вы хотите добавить получателя заранее, можете внести его в базу: Войдите в раздел «Получатели». Нажмите на «+» в верхней части экрана. Введите номер телефона нового получателя. Внесите данные получателя: ФИО; правовой статус; ИНН; юрлицо. Нажмите на кнопку «Добавить»."
17,Как найти историю выплат получателю?,"Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Получатели». Найдите интересующего вас получателя. Для этого вы можете воспользоваться строкой поиска. Чтобы открыть строку поиска, необходимо нажать на лупу. Нажмите на нужного вам пользователя. В открывшемся окне в подразделе «Выплаты» будет история выплат этому получателю."
18,Как найти реквизиты получателя?,"Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Получатели». Найдите интересующего вас получателя. Для этого вы можете воспользоваться строкой поиска. Чтобы открыть строку поиска, необходимо нажать на лупу. Нажмите на нужного вам пользователя. В открывшемся окне в подразделе «Реквизиты» будут реквизиты этого получателя."
19,Как найти файлы получателя?,"Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Получатели». Найдите интересующего вас получателя. Для этого вы можете воспользоваться строкой поиска. Чтобы открыть строку поиска, необходимо нажать на лупу. Нажмите на нужного вам пользователя. В открывшемся окне в подразделе «Файлы» будут файлы этого получателя."
20,Как получить список всех получателей?,Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Получатели». Нажмите на многоточие. В открывшемся окне нажмите на кнопку «Экспорт». Данные обо всех получателях скачаются на ваше устройство в формате XML.
21,Что такое «Акты»?,"В этом разделе можно создавать ПСА, также в нем отображены уже созданные акты. Для удобства просмотра в списке предусмотрены следующие поля: номер акта (со ссылкой на документ); дата акта; получатель (со ссылкой на профиль); сумма; ЮЛ и филиал; выплата (со ссылкой на карточку выплаты); статус выплаты."
22,Как создать и оплатить акт?,"Это можно сделать в личном кабинете Jump.Finance: Откройте «Акты» в главном меню → «Создать». Если вы уже отправляли акт получателю, в поле «Получатель» введите имя или номер телефона → «Дальше» и переходите к следующему шагу. Если нет, добавьте получателя. В поле «Получатель» введите номер телефона получателя, заполните все поля → «Дальше». Для граждан РФ это можно сделать с помощью распознавания фото. Для этого нажмите «Заполнить из фото» и загрузите страницы с ФИО и регистрацией. Можете добавить только одно фото, а остальное ввести вручную. Готово! Вы добавили получателя и теперь можете создать акт. Заполните форму акта: добавьте данные юрлица, выберите единицы измерения массы лома и укажите его параметры → «Создать». Чтобы оплатить сформированный акт, нажмите «Оплатить», заполните поля → «Оплатить». В разделе «Акты» напротив соответствующего акта появится статус выплаты: «Оплачено», «Нужно подтверждение», «Ошибка выплаты» или «Отменена». Что означают статусы выплат"
23,Как проверить паспорт получателя?,"Это можно сделать при создании акта в личном кабинете Jump.Finance. Так вы поймете, что перед вами, возможно, мошенник и ему не стоит переводить деньги. Для этого: Нажмите «Акты» в главном меню → «Создать». В поле «Получатель» введите номер телефона получателя. Заполните паспортные данные вручную или нажмите «Заполнить из фото», чтобы загрузить изображение документа. Распознать по фото сможем только паспорта РФ. Нажмите «Проверить паспорт по базам МВД». Проверка займет меньше минуты. Мы посмотрим, не вышел ли срок действия паспорта и нет ли его в черных списках Федеральной службы по финансовому мониторингу и других базах. А затем покажем статус проверки и подскажем, что делать дальше. Если с паспортом все в порядке, можете продолжить создание акта по инструкции."
24,Как скачать акты?,"Это можно сделать с телефона и компьютера в личном кабинете Jump.Finance: Откройте «Акты» и нажмите на три точки → «Экспортировать» на телефоне или иконку стрелки на компьютере. Выберите период, за который нужно скачать акты, компанию и формат: xlsx, если хотите скачать акты в формате журнала; zip‑архив, если вам нужны отдельные файлы с актами. Нажмите «Экспортировать». Готово! Вы скачали акты."
25,Как настроить права пользователей для актов?,"Вы можете выдать своим сотрудникам различные права для актов. Для этого необходимо перейти в «Настройки» → «Пользователи», пролистать страницу вниз. Там есть два варианта: «Создание акта» — если у пользователя включен этот вариант, он может создавать акты. «Просмотр актов» — если у пользователя включен этот вариант, он может просматривать все акты."
26,Как отредактировать и удалить акт?,"Вы можете редактировать и удалять все акты, кроме тех, по которым уже есть выплаты со статусами «Оплаченные» и «В обработке». Для этого в личном кабинете Jump.Finance откройте «Акты», нажмите на три точки около нужного акта → «Редактировать» или «Удалить». Как найти нужную выплату Если вы отредактируете или удалите акт, выплата по нему получит статус «Отменена»."
27,Как добавить пользователя в личный кабинет?,Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Настройки» → «Пользователи» и нажмите «+» в правой части экрана. Введите информацию о пользователе: имя; номер телефона; эл. почту; пароль. Нажмите на кнопку «Добавить».
28,Как настроить права пользователя в личном кабинете?,"В этом разделе мы расскажем о возможностях ограничить доступ к действиям в личном кабинете пользователя: Если ваша компания обладает несколькими юрлицами, то вы можете ограничить доступ сотрудников, которые будут работать с ними. Чтобы настроить возможность сотрудника действовать в рамках конкретного юрлица: Перейдите в раздел «Настройки» → «Пользователи». Найдите необходимого вам сотрудника и нажмите на него. В открывшемся окне вы увидите раздел «Доступ к юрлицам». Включив тумблер напротив юрлица, вы дадите доступ к нему этому сотруднику. Если у пользователя есть доступ к юрлицу, то у него будет доступ к филиалам, которые привязаны к этому юрлицу. Чтобы изменить доступ к филиалам: Перейдите в раздел «Настройки» → «Пользователи». Найдите необходимого вам сотрудника и нажмите на него. В открывшемся окне вы увидите раздел «Доступ к юрлицам». Если у юрлица есть филиалы, под ним будет кнопка «Изменить», нажмите на нее. Откроется список филиалов этого юрлица. Выберите филиалы, к которым вы хотите дать доступ этому пользователю, и нажмите «Сохранить». Чтобы настроить возможность сотрудника осуществлять конкретные действия: Перейдите в раздел «Настройки» → «Пользователи». Найдите необходимого вам сотрудника и нажмите на него. В открывшемся окне вы увидите раздел «Права пользователя». Сводка Если вы включаете тумблер в этом разделе, сотрудник увидит раздел «Сводка». То есть он будет иметь доступ к следующей информации: количество выплат за период; динамика выплат за период; лимиты на счет. Получатели Если вы включаете тумблер в этом разделе, сотрудник получит доступ к следующим действиям в разделе «Получатели»: просмотр; редактирование данных; экспорт. Выплаты Если вы включаете тумблер в этом разделе, сотрудник получит доступ к следующим действиям в разделе «Выплаты»: просмотр всех выплат; создание выплат; подтверждение выплат; оплата; просмотр своих выплат; импорт; экспорт. Отчеты При включении этого тумблера пользователь сможет просматривать отчеты. Интеграции В настройках личного кабинета вы можете настроить интеграции с 1С и OpenApi для вашего удобства: просмотр; редактирование. Настройка Если вы включаете тумблер в этом разделе, сотрудник получит доступ к следующим действиям в разделе «Настройка»: редактирование настроек системы; просмотр пользователей; редактирование пользователей; редактирование юрлиц и отделов; просмотр банковских счетов; редактирование банковских счетов."
29,Как добавить юрлицо?,Чтобы добавить юрлицо в личный кабинет: Перейдите в раздел «Настройки» → «Общие» → «Юрлица и отделы». Нажмите на кнопку «+Добавить» в правом верхнем углу. Введите ИНН нового юрлица. Введите информацию о юрлице: КПП (этот пункт заполняется только для ЮЛ); ОГРН/ОГРНИП; дату ОГРН; город; название; адрес; должность руководителя (этот пункт заполняется только для ЮЛ); ФИО. Нажмите кнопку «Добавить».
30,Как добавить должность?,"Чтобы добавить должность в личный кабинет: Перейдите в раздел «Настройки» → «Общие» → «Должности». Нажмите на кнопку «+» в правом верхнем углу. Введите название должности и нажмите на кнопку «Добавить». Вы также можете редактировать название должности, для этого: Перейдите в раздел «Настройки» → «Общие» → «Должности». Наведите на должность, которую вы хотите редактировать. Нажмите на иконку карандаша, которая появится справа от должности. Внесите изменения. Вы можете удалить должность. Для этого: Перейдите в раздел «Настройки» → «Общие» → «Должности». Наведите на должность, которую вы хотите удалить. Нажмите на иконку мусорного ведра, которая появится справа от должности."
31,Как настроить банковские счета?,"Вы можете включить определенные расчетные счета для юрлица. Чтобы добавить банковский счет в личном кабинете и включить его для юрлица, вам необходимо перейти в раздел «Настройки» → «Счета». Там вы сможете увидеть список счетов для расчета с получателем. Также там будет видна информация о счете, а именно: название; баланс; банк; юрлицо; лимит для счета на месяц; лимит для карты на месяц; лимит на одну выплату. Чтобы добавить новый счет: Перейдите в раздел «Настройки» → «Счета». Нажмите на «+» в правом верхнем углу. В открывшемся меню введите информацию о счете. Привяжите этот счет к нужному юрлицу. Нажмите на кнопку «Добавить». Теперь счет будет отражаться в списке счетов в этом разделе. Чтобы он был активен, убедитесь, что тумблер напротив него включен. Вы можете привязать несколько счетов к одному юрлицу. Вы можете отредактировать счет или удалить его, для этого: Наведите ваш курсор на нужный счет. Нажмите на карандаш для корректировки или на мусорное ведро для удаления счета."
32,Как настроить интеграцию с 1C?,Зависит от вашего расширения Jump.Finance: расширение для 1С:Бухгалтерия 8. Инструкция и расширение ; расширение для 1С:Управление торговлей. Инструкция и расширение ; расширение для 1С:Комплексная автоматизация. Инструкция и расширение ; 1С:Фреш. Из 1С:Фреш откройте экран «Магазин расширений». Расширение опубликовано под именем Jump.Finance.
33,Как настроить интеграцию с OpenApi?,"Jump.Finance OpenApi — продукт, позволяющий вам организовать взаимодействие с сервисом Jump.Finance из своей системы. Возможности: управление юрлицами для работы с исполнителями через разные юридические лица и банковские счета; управление исполнителями; создание выплат и получение информации о выплатах; получение информации о банковских счетах. Инструкция"
34,Как настроить интеграцию с кассой АТОЛ?,"Кассы привязываются к юрлицу, одновременно у юрлица может быть одна касса. Инструкция по регистрации и активации ККТ в личном кабинете АТОЛ Онлайн Обращаем ваше внимание, что мы работаем только со следующими ОФД: Платформа ОФД (ООО «Эвотор ОФД», ИНН 9715260691); Первый ОФД (АО «ЭСК», ИНН 7709364346); Такском ОФД."
35,Как добавить филиалы?,"Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Настройки» → «Общие» → «Юрлица и филиалы» и выберите нужное юрлицо. Обратите внимание, что у одного юрлица может быть несколько филиалов. В открытом окне нажмите на «Добавить». Внесите информацию о филиале и нажмите на «Добавить». Теперь филиал отображается в юрлице, куда вы его добавили. Как редактировать филиал"
36,Как отключить или удалить филиал?,"Если вы больше не используете филиал или он закрылся на время, вы можете отключить или удалить его. Отключение филиала: Войдите в раздел «Настройки» → «Общие» → «Юрлица и филиалы» и нажмите на юрлицо, филиал которого вы хотите отключить. Переведите тумблер в неактивное положение (он станет серого цвета). Чтобы снова включить филиал, просто переведите тумблер в активное положение (он станет желтым). Удаление филиала: Войдите в раздел «Настройки» → «Общие» → «Юрлица и филиалы» и нажмите на юрлицо, филиал которого вы хотите удалить. Найдите нужный филиал и нажмите на значок мусорного ведра."
37,Как редактировать филиал?,"Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Настройки» → «Общие» → «Юрлица и филиалы» и нажмите на юрлицо, филиал которого вы хотите отредактировать. Найдите нужный филиал и нажмите на значок карандаша."
38,Что такое сервис Tinkoff ID и какие у него возможности?,"Tinkoff ID помогает привлекать больше пользователей и увеличивать конверсию в заявку. Пользователями могут быть обычные покупатели, ИП или представители ООО. Подробнее о Tinkoff ID Физлицам не обязательно быть клиентами Тинькофф, чтобы входить по Tinkoff ID. Корпоративным пользователям нужно иметь счет в Тинькофф Бизнесе, чтобы входить по Tinkoff ID. Вот какие преимущества есть у Tinkoff ID. Быстрый вход на ваш сайт или в приложение. Пользователям не нужно регистрироваться и запоминать пароль: вход происходит по номеру телефона или через мобильное приложение Тинькофф. Актуальные данные. Вы получаете данные, которыми пользователь согласен поделиться при входе, например имя, фамилию, телефон, электронную почту. Если пользователь их изменил через Тинькофф, они автоматически обновятся у вас. Фильтр от мошенников и ботов. К вам попадают только настоящие пользователи с актуальными данными."
39,Что такое сервис Tinkoff ID для юридических лиц и какие у него возможности?,"Tinkoff ID для юридических лиц упрощает работу с партнерами — ИП и представителями ООО. Вот какие преимущества есть у Tinkoff ID для юрлиц. Быстрый вход на ваш сайт или в приложение. Партнер входит по номеру телефона или через мобильное приложение Тинькофф. Актуальные данные партнера. Вы получаете данные, которыми партнер согласен поделиться при входе, например ИНН, КПП, реквизиты расчетного счета, юридический и фактический адрес. Импорт данных партнера. Они загружаются в ваши программы, например CRM‑систему, 1С, Контур. Это помогает автоматически выставить счет или создать платежное поручение."
40,Чем отличается Tinkoff ID от Tinkoff ID для юрлиц?,"Это один и тот же сервис, который упрощает вход на ваш сайт и в приложение. Разница в том, кто к вам входит. Клиенты-физлица входят с Tinkoff ID. Для этого не обязательно быть клиентами Тинькофф — достаточно ввести свой номер телефона. Партнеры — ИП и представители ООО — входят с Tinkoff ID для юрлиц. У них должен быть открыт расчетный счет в Тинькофф Бизнесе."
41,В каких случаях подходит Tinkoff ID?,"Tinkoff ID подходит для сайтов и приложений с личным кабинетом пользователя — это может быть авиакомпания, маркетплейс, небольшой магазин или любой другой сервис."
42,Как пользователи входят на сайт или в приложение с Tinkoff ID?,"С помощью Tinkoff ID легко входить на сайт или в приложение. Входить могут обычные и корпоративные пользователи — ИП и представители ООО. Физлица входят через Tinkoff ID. Чтобы входить на сайты и приложения, не обязательно быть клиентом Тинькофф — достаточно указать номер телефона. Зачем физлицам входить на сайты и в приложения с Tinkoff ID Корпоративные пользователи входят через Tinkoff ID для юрлиц и должны иметь расчетный счет в Тинькофф Бизнесе. Порядок входа одинаковый для всех. Нажимает на кнопку «Войти с Тинькофф» и вводит номер телефона. Подтверждает вход по СМС. Если у пользователя нет счета в Тинькофф, вы можете попросить его ввести дополнительные данные, например эл. почту. После этого пользователь входит на сайт, его данные автоматически сохраняются в профиле. Если дополнительные данные не нужны, пользователь входит на сайт сразу после подтверждения телефона. Если пользователь — клиент Тинькофф, он видит окно со списком данных, которые получит сайт, и соглашается на передачу данных. После этого пользователь возвращается авторизованным на ваш сайт, его данные автоматически сохраняются в профиле. Если у пользователя нет счета в Тинькофф: нажимает на кнопку «Войти с Тинькофф», вводит номер телефона и подтверждает его по СМС. Если пользователь — клиент Тинькофф: нажимает на кнопку «Войти с Тинькофф», затем подтверждает вход через мобильное приложение Тинькофф — по коду, отпечатку пальца или Face ID. Если у пользователя нет счета в Тинькофф: приложение может запросить дополнительные данные, например эл. почту. После этого пользователь входит в приложение, его данные автоматически сохраняются в профиле. Если дополнительные данные не нужны, авторизация происходит сразу после подтверждения телефона. Если пользователь — клиент Тинькофф: он видит окно со списком данных, которые получит приложение, и соглашается на передачу данных. После этого пользователь входит в приложение, его данные автоматически сохраняются в профиле."
43,Какие персональные данные можно получить о пользователе?,"Если пользователь — клиент Тинькофф, вы можете получить имя, фамилию, телефон, почту, ИНН и другие данные, но только после согласия пользователя. Пользователь видит при входе, какими данными он делится. Какие данные пользователя получает сайт или приложение Если пользователь — не клиент Тинькофф, но входит через Tinkoff ID, вы получаете проверенный номер мобильного телефона пользователя."
44,Куда клиент может войти с Tinkoff ID?,"Есть два сценария, куда клиент может заходить с Tinkoff ID: На ваш сайт. Клиент подтверждает вход через сайт Тинькофф, соглашается передать данные, автоматически возвращается на ваш сайт. Как клиент заходит на сайт с Tinkoff ID В ваше мобильное приложение. Клиент подтверждает вход через мобильное приложение Тинькофф, соглашается передать данные и автоматически возвращается в ваше приложение. Как клиент заходит в приложение с Tinkoff ID"
45,"Каковы преимущества Tinkoff ID, если мои клиенты — физлица?","Преимущества Tinkoff ID, если ваши клиенты — физлица: Надежная верификация. Подтверждаем личность каждого клиента — к вам не попадут мошенники и боты. Легкая авторизация и регистрация. Клиенту не нужно вводить логин и придумывать пароль. Все поля в формах заполняются автоматически. Удобная оплата: не нужно вводить реквизиты карты. Вы получаете счет в мобильное приложение Тинькофф и можете оплатить его в пару касаний. Актуальные данные. Вы можете выбрать, какие сведения о клиенте хотите узнать: имя, фамилию, телефон, почту, ИНН и другие. Партнерский подход. Помогаем вам персонализировать акции, узнавать предпочтения клиентов и повышать их лояльность. Удобное подключение. Tinkoff ID работает с сайтами и мобильными приложениями. Даем документацию для ваших разработчиков и предоставляем поддержку. Если в вашей компании нет разработчиков, наши партнеры помогут подключиться."
46,Где найти документацию и стайлгайды для подключения Tinkoff ID?,Вы найдете документацию и стайлгайды на странице «Интеграция с Tinkoff ID».
47,Нужен ли разработчик для подключения Tinkoff ID?,"Да, чтобы подключить Tinkoff ID, нужна помощь разработчика. Если у вас нет разработчика, наши партнеры помогут подключиться. Напишите нам на почту tinkoff_id@tinkoff.ru, и мы дадим контакты партнеров по подключению Tinkoff ID."
48,Как долго подключать Tinkoff ID?,"Подключение занимает от нескольких дней до нескольких недель — точнее скажет разработчик, который будет помогать с настройкой."
49,Для чего нужна бизнес-карта?,"Бизнес-карта — это обычная дебетовая банковская карта, которая привязана к расчетному счету ИП или юридического лица. Для работы с бизнес-картой не нужно открывать отдельный счет, переводить на него деньги или поддерживать неснижаемый остаток. Где и как снять наличные и какая комиссия С бизнес-картой пользоваться расчетным счетом проще и удобнее. Вы можете: оплачивать покупки офлайн и онлайн; снимать наличные с рублевой бизнес-карты в рублях на территории России, с валютной бизнес-карты «Мир» — в валюте за границей; Список стран, где принимают бизнес-карту «Мир» делать переводы; выдавать бизнес-карту сотрудникам для корпоративных покупок или командировок; устанавливать лимиты трат в приложении и личном кабинете Тинькофф Бизнеса; подключить бизнес-карту в приложении «Мой налог» для автоматической уплаты налогов. Рублевая бизнес-карта привязана к расчетному счету в рублях, валютная — к валютному. Покупки по ней сразу отображаются в выписке по счету и в ленте операций в приложении и личном кабинете Тинькофф Бизнеса."
50,Какие бывают бизнес-карты?,"Бизнес-карту можно выпустить пластиковой или виртуальной . Виртуальная бизнес-карта — это аналог обычной карты, но она не выпускается на пластиковом носителе. Все реквизиты — номер, срок действия, CVC‑код и счет — хранятся в личном кабинете и приложении. Как получить виртуальную бизнес-карту Ее можно открыть в рублях или в валюте . Рублевая бизнес-карта выпускается к рублевому счету, а валютная — в той валюте, в которой открыт счет. Как выпустить валютную бизнес-карту Мы выпускаем карты в платежной системе «Мир». В России рублевые бизнес-карты продолжают работать, но недоступна оплата через Apple Pay и Google Pay. За границей оплачивать покупки и снимать валюту можно только с помощью бизнес-карты «Мир». Такие карты принимают в некоторых странах, например в Абхазии, Беларуси и Казахстане. В конкретной стране «Мир» обслуживают не все банки, а значит карты принимают не во всех банкоматах и не во всех магазинах. Перед поездкой постарайтесь снять наличные и взять их с собой — так будет надежнее. Список стран, где принимают карты «Мир»"
51,Кто может быть владельцем карты?,"Любой сотрудник компании. Пользоваться картой может только человек, чье имя на ней указано, передавать карту коллеге нельзя."
52,Сколько стоит выпустить бизнес-карту?,Бизнес-карту можно получить бесплатно. Количество бесплатных пластиковых карт зависит от тарифа.
53,Сколько стоит обслуживание бизнес-карты?,"Обслуживание любого количества пластиковых или виртуальных бизнес‑карт — бесплатное. Если на тарифе «Простой» оплачивать бизнес-картой покупки на сумму больше 150 000 ₽ в месяц, а на тарифе «Продвинутый» — больше 400 000 ₽, в следующем месяце обслуживание расчетного счета на этом же тарифе тоже будет бесплатным. Тарифы Тинькофф на РКО"
54,Какой срок действия у бизнес-карты?,"Срок действия всех бизнес‑карт Тинькофф одинаковый — 8 лет. Если у вашей бизнес-карты Visa или Mastercard истекает срок работы, перевыпуск не потребуется — мы автоматически увеличим срок их действия. При онлайн-оплате нужно указывать месяц и год, которые напечатаны на карте, даже если они уже прошли."
55,Кто и как может выпустить бизнес-карту?,"Выпустить бизнес-карту могут ЕИО Единоличный исполнительный орган, например директор и подписант — сотрудник с правом подписи. Как предоставить сотруднику право подписи ЕИО может выпускать пластиковые и виртуальные бизнес-карты, подписант — только пластиковые. Пластиковая бизнес-карта — это обычная карта на физическом носителе, ее привозит представитель банка. Виртуальная бизнес-карта существует только в цифровом виде, зато ей можно пользоваться сразу. Как начать пользоваться бизнес-картой Выпустить бизнес-карту себе можно в мобильном приложении или личном кабинете Тинькофф Бизнеса: Внизу главного экрана нажмите «Открыть новый продукт» → «Выпустить карту». Выберите счет, к которому хотите выпустить бизнес-карту. Выберите «Мне». Выберите тип карты: пластиковую или виртуальную. Выберите платежную систему «Мир». Выберите «Выпустить». На главной странице выберите счет, к которому хотите выпустить бизнес-карту. Нажмите на значок плюса. Выберите тип карты: пластиковую или виртуальную. Выберите платежную систему «Мир». Выберите «Выпустить». Если вы хотите выпустить бизнес-карту другому сотруднику, напишите в чат поддержки Тинькофф Бизнеса или позвоните по телефону 8 800 700‑66‑66 ."
56,Кто может пользоваться бизнес-картой?,"Пользоваться бизнес-картой может только человек, на которого она выпущена. Если у вас есть сотрудник, который постоянно покупает канцтовары, оплачивает представительские расходы или ездит в командировки, оформите дополнительную бизнес-карту на его имя. Обслуживание любого количества бизнес‑карт бесплатное. Сколько стоит выпустить бизнес-карту Кто и как может выпустить бизнес-карту"
